IP-calls,nodes explored,filename,strategy_subproblem_selection,strategy_node_priority,strategy_reduction,strategy_update_node_priority,strategy_refine_with_integer_gap,strategy_search_method,strategy_refine_method,time_total,subproblem_points,reduced_generator_points,subproblem_points_generated,mgs_points,Yn_points,hYn_points,subproblem_points_vector,subproblem_points_generated_vector,mgs_points_vector,generator_points_vector,time_IP-calls,count_IP-calls,time_nodes explored,count_nodes explored,time_subproblem_points_vector,count_subproblem_points_vector,time_subproblem_points_generated_vector,count_subproblem_points_generated_vector,time_mgs_points_vector,count_mgs_points_vector,time_ASMO.solve,count_ASMO.solve,time_ASMO._set_global_upper_bound,count_ASMO._set_global_upper_bound,time_ASMO._update_global_upper_bound,count_ASMO._update_global_upper_bound,time_ASMO._set_incumbent,count_ASMO._set_incumbent,time_CVRP._update_bounds_from_node,count_CVRP._update_bounds_from_node,time_ASMO._reduce_upper_bounds,count_ASMO._reduce_upper_bounds,timeout
301,101,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-ull-3_5.json,sequential,largest,100,all,False,phase1,slow,204.87497712497134,150,103,122,103,654,654,50|50|50,22|50|50,3|50|50,3|50|50,,,,,,,,,,,0,2,0.599,8,0,2,0.572,8,0.458,196,407.264,198,False
301,101,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-ull-3_5.json,sequential,largest,50,all,False,phase1,slow,247.8028886250686,150,103,122,103,654,654,50|50|50,22|50|50,3|50|50,3|50|50,,,,,,,,,,,0,2,1.043,10,0,2,1.006,10,1.793,196,491.112,198,False
564,195,./instances/msp/2obj/Lyngesen24-msp-2-100|100-ul-2_5.json,sequential,largest,first,all,False,bbm,slow,3.284925749991089,200,111,200,111,270,270,100|100,100|100,11|100,11|100,,,,,,,,,,,0,2,0.289,6,0,2,0.283,6,1.471,386,2.635,388,False
564,195,./instances/msp/2obj/Lyngesen24-msp-2-100|100-ul-2_5.json,sequential,largest,none,all,False,bbm,slow,1.5330366250127554,200,111,200,111,270,270,100|100,100|100,11|100,11|100,,,,,,,,,,,0,2,0.099,4,0,2,0.096,4,1.259,386,0.0,388,False
564,195,./instances/msp/2obj/Lyngesen24-msp-2-100|100-ul-2_5.json,sequential,largest,100,all,False,bbm,slow,12.570427707978524,200,111,200,111,270,270,100|100,100|100,11|100,11|100,,,,,,,,,,,0,2,0.323,8,0,2,0.312,8,2.738,386,19.977,388,False
564,195,./instances/msp/2obj/Lyngesen24-msp-2-100|100-ul-2_5.json,sequential,largest,50,all,False,bbm,slow,31.754040708066896,200,111,200,111,270,270,100|100,100|100,11|100,11|100,,,,,,,,,,,0,2,0.93,12,0,2,0.91,12,2.978,386,58.263,388,False
414,138,./instances/msp/2obj/Lyngesen24-msp-2-100|100-ul-2_5.json,sequential,largest,first,all,False,phase1,slow,2.4966744580306113,200,111,200,111,270,270,100|100,100|100,11|100,11|100,,,,,,,,,,,0,2,0.172,6,0,2,0.165,6,0.952,272,2.699,274,False
414,138,./instances/msp/2obj/Lyngesen24-msp-2-100|100-ul-2_5.json,sequential,largest,none,all,False,phase1,slow,1.1170531250536442,200,111,200,111,270,270,100|100,100|100,11|100,11|100,,,,,,,,,,,0,2,0.082,4,0,2,0.079,4,0.894,272,0.0,274,False
414,138,./instances/msp/2obj/Lyngesen24-msp-2-100|100-ul-2_5.json,sequential,largest,100,all,False,phase1,slow,14.185683917021379,200,111,200,111,270,270,100|100,100|100,11|100,11|100,,,,,,,,,,,0,2,0.231,8,0,2,0.219,8,1.431,272,25.404,274,False
414,138,./instances/msp/2obj/Lyngesen24-msp-2-100|100-ul-2_5.json,sequential,largest,50,all,False,phase1,slow,22.17026695900131,200,111,200,111,270,270,100|100,100|100,11|100,11|100,,,,,,,,,,,0,2,0.697,10,0,2,0.677,10,1.841,272,40.529,274,False
